Item	Qty	Reference(s)	Value	LibPart	Footprint	Datasheet
1	1	C1	0.1 uF	Device:C	Capacitor_SMD:C_0805_2012Metric	~
2	2	C2, C4	10uF	Device:C	Capacitor_SMD:C_0805_2012Metric	
3	1	C3	.1 uF	Device:C	Capacitor_SMD:C_0805_2012Metric	~
4	1	C5	4.7 uF	Device:C	Capacitor_SMD:C_0805_2012Metric	~
5	2	C6, C7	1000 pF	Device:C	Capacitor_SMD:C_0805_2012Metric	~
6	1	C8	22uF	Device:C	Capacitor_SMD:C_0805_2012Metric	
7	1	D1	SK34A-LTP	SK34A-LTP:SK34A-LTP	SK34A-LTP:DIOM5226X244N	https://www.mccsemi.com/pdf/Products/SK32A-L-SK310A-L(DO-214AC).pdf
8	4	H1, H2, H3, H4	MountingHole	Mechanical:MountingHole	MountingHole:MountingHole_2.7mm	~
9	1	IC1	DRV8220DRLR	DRV8220DRLR:DRV8220DRLR	DRV8220DRLR:SOTFL50P160X60-6N	https://www.ti.com/lit/ds/symlink/drv8220.pdf?ts=1631525955787&ref_url=https%253A%252F%252Fwww.google.com%252F
10	1	J1	1752104	1752104:1752104	1752104:SHDR2W90P0X350_1X2_760X1000X1255P	https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/eeae7e9f9b3a235c7d873ddf4da930cb.pdf
11	5	J2, J3, J4, J6, J7	T1M-02-F-SV-L	T1M-02-F-SV-L:T1M-02-F-SV-L	T1M-02-F-SV-L:T1M02FSVL	http://suddendocs.samtec.com/prints/t1m-xx-x-sv-l-x-mkt.pdf
12	1	J5	T1M-05-F-SV-L	T1M-05-F-SV-L:T1M-05-F-SV-L	T1M-05-F-SV-L:T1M05FSVL	http://suddendocs.samtec.com/prints/t1m-xx-x-sv-l-x-mkt.pdf
13	2	Q1, Q2	IPD30N08S2L21ATMA1	IPD30N08S2L21ATMA1:IPD30N08S2L21ATMA1	IPD30N08S2L-21:IPD30N08S2L21ATMA1	https://www.infineon.com/dgdl/Infineon-IPD30N08S2L_21-DS-v01_00-en.pdf?fileId=db3a304412b407950112b426f6a33b23
14	14	TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14	TestPoint	Connector:TestPoint	TestPoint:TestPoint_Pad_D1.0mm	~
15	1	U1	MIC4427YM-TR	MIC4427YM-TR:MIC4427YM-TR	MIC4427YM-TR:SOIC127P599X173-8N	
16	1	U2	742792510	742792510:742792510	742792510:18122	https://4donline.ihs.com/images/VipMasterIC/IC/MIDC/MIDC-S-A0013715343/MIDC-S-A0013795848-1.pdf?hkey=EF798316E3902B6ED9A73243A3159BB0
17	1	U3	RPM5.0-6.0	Converter_DCDC:RPM5.0-6.0	Converter_DCDC:Converter_DCDC_RECOM_RPMx.x-x.0	https://www.recom-power.com/pdf/Innoline/RPM-6.0.pdf
18	1	U4	7427932	7427932:7427932	7427932:7427932	https://www.we-online.com/components/products/datasheet/7427932.pdf
